LoanID,Ally ID,RecipientID,RecipientType,LoanAmount,IssueDate,LoanType,DisbursementMeans,Status
11438,433433335211,433433335211,Ally,2000,29/01/2025 13:15:42,XIMPLE OPTIMIZA,STP,ACTIVO
11440,433433330193,433433330193,Ally,2500,29/01/2025 11:33:12,XIMPLE FIJO,MERCANCIA,ACTIVO
11448,433433330194,433433330194,Ally,1266,29/01/2025 15:31:19,XIMPLE FIJO,MERCANCIA,ACTIVO
11449,433433339880,433433339880,Ally,1950,29/01/2025 14:28:55,XIMPLE FIJO,MERCANCIA,ACTIVO
11453,433433333436,433433333436,Ally,1600,29/01/2025 16:33:48,XIMPLE FIJO,STP,ACTIVO
11458,433433330974,433433330974,Ally,2120,29/01/2025 17:45:22,XIMPLE FIJO,MERCANCIA,ACTIVO
11464,433433336311,433433336311,Ally,1800,29/01/2025 18:56:53,XIMPLE FIJO,STP,ACTIVO
11486,433433335922,433433335922,Ally,800,30/01/2025 13:02:42,XIMPLE FIJO,STP,ACTIVO
11488,433433339201,433433339201,Ally,1500,30/01/2025 10:29:44,XIMPLE FIJO,MERCANCIA,ACTIVO
11489,433433330015,433433330015,Ally,2612,30/01/2025 13:22:10,XIMPLE FIJO,MERCANCIA,ACTIVO
11491,433433336725,433433336725,Ally,2000,30/01/2025 13:41:36,XIMPLE FIJO,STP,ACTIVO
11494,433433339189,433433339189,Ally,1125,30/01/2025 14:17:45,XIMPLE FIJO,MERCANCIA,ACTIVO
11497,433433330859,433433330859,Ally,4866,30/01/2025 14:41:07,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11498,433433330859,433433330859,Ally,1113,30/01/2025 15:06:32,XIMPLE FIJO,MERCANCIA,ACTIVO
11499,433433338861,433433338861,Ally,947,30/01/2025 15:07:38,XIMPLE FIJO,MERCANCIA,ACTIVO
11509,433433330869,433433330869,Ally,550,30/01/2025 16:40:09,XIMPLE FIJO,MERCANCIA,ACTIVO
11511,433433334095,433433334095,Ally,1318,30/01/2025 16:56:23,XIMPLE FIJO,MERCANCIA,ACTIVO
11517,433433330028,433433330028,Ally,2632,30/01/2025 18:12:01,XIMPLE FIJO,MERCANCIA,ACTIVO
11524,433433339474,433433339474,Ally,535,30/01/2025 19:13:32,XIMPLE FIJO,MERCANCIA,ACTIVO
11528,433433334519,433433334519,Ally,1300,30/01/2025 20:31:19,XIMPLE FIJO,STP,ACTIVO
11550,433433330131,433433330131,Ally,674,31/01/2025 13:01:35,XIMPLE FIJO,MERCANCIA,ACTIVO
11551,433433330197,433433330197,Ally,3436,31/01/2025 13:16:37,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11563,433433334047,433433334047,Ally,1400,31/01/2025 16:20:50,XIMPLE FIJO,STP,ACTIVO
11568,433433337604,433433337604,Ally,500,31/01/2025 16:28:55,XIMPLE FIJO,STP,ACTIVO
11571,433433334608,433433334608,Ally,1300,31/01/2025 17:01:12,XIMPLE FIJO,STP,ACTIVO
11575,433433338502,433433338502,Ally,735,31/01/2025 17:41:25,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11593,433433333373,433433333373,Ally,3400,31/01/2025 21:42:59,XIMPLE FIJO,STP,ACTIVO
11609,433433338616,433433338616,Ally,505,01/02/2025 11:45:46,XIMPLE FIJO,MERCANCIA,ACTIVO
11611,433433338792,433433338792,Ally,900,01/02/2025 12:06:57,XIMPLE FIJO,STP,ACTIVO
